t,			flux
-0.6195500387897594, 1.0006323529411765
-0.6102404965089216, 1.0006470588235294
-0.5990690457719162, 1.0006470588235294
-0.5897595034910783, 1.0006764705882352
-0.582311869666408, 1.0006764705882352
-0.5730023273855702, 1.0006617647058822
-0.5636927851047324, 1.00075
-0.5562451512800621, 1.0006029411764705
-0.5469356089992242, 1.0006176470588235
-0.5376260667183863, 1.000720588235294
-0.5283165244375485, 1.0005735294117646
-0.5190069821567107, 1.0003823529411764
-0.50411171450737, 0.9989705882352942
-0.49480217222653217, 0.9989705882352942
-0.4799069045771916, 1.0003529411764704
-0.46873545384018617, 1.0002499999999999
-0.4594259115593483, 1.0008088235294117
-0.4482544608223429, 1.0003823529411764
-0.38494957331264545, 1.0000735294117646
-0.3719162141194725, 0.9999411764705882
-0.3607447633824671, 0.9999264705882352
-0.35143522110162917, 1.000014705882353
-0.34026377036462374, 0.9999264705882352
-0.3290923196276183, 0.9999264705882352
-0.3793638479441428, 0.9999705882352941
-0.3197827773467804, 0.9997941176470588
-0.30674941815360734, 0.9998382352941176
-0.2955779674166019, 0.999735294117647
-0.2862684251357641, 0.9997941176470588
-0.2750969743987587, 0.9998235294117647
-0.26392552366175326, 0.9997205882352941
-0.256477889837083, 0.9996470588235293
-0.24530643910007754, 0.9995588235294117
-0.23599689681923963, 0.9994558823529411
-0.2248254460822342, 0.9993235294117647
-0.21179208688906126, 0.9993970588235294
-0.20062063615205583, 0.9995735294117647
-0.19131109387121792, 0.9996029411764705
-0.17827773467804497, 0.9993823529411765
-0.16524437548487192, 0.9994411764705882
-0.1540729247478665, 0.9993970588235294
-0.14103956555469355, 0.9994264705882353
-0.08332040341349867, 0.9996323529411765
-0.07028704422032572, 0.9993970588235294
-0.05539177657098515, 0.9994117647058823
-0.042358417377812096, 0.9994411764705882
-0.031186966640806668, 0.9993823529411765
-0.02001551590380124, 0.9995147058823529
-0.006982156710628296, 0.9755165289256198
0.004189294026377133, 0.9753099173553719
0.019084561675717704, 0.9996617647058823
0.030256012412723132, 0.9995588235294117
0.04142746314972856, 0.9996911764705882
0.054460822342901616, 0.999735294117647
0.06749418153607456, 0.9997941176470588
0.08052754072924773, 0.9998088235294117
0.09169899146625304, 0.9998823529411764
0.10287044220325858, 0.9998382352941176
0.11590380139643142, 0.9997647058823529
0.12707525213343673, 0.9998970588235294
0.13638479441427476, 1.0000441176470587
0.14569433669511256, 0.9999705882352941
0.15500387897595058, 1.000029411764706
0.1661753297129559, 1.0001176470588236
0.17734678044996144, 1.0000588235294117
0.18665632273079902, 1.0001029411764706
0.19782777346780456, 1.0001470588235293
0.20899922420480987, 1.0002352941176471
0.2183087664856479, 1.0002647058823528
0.22948021722265344, 1.0003088235294118
0.23878975950349102, 1.0003529411764704
0.24809930178432904, 1.0004411764705883
0.25740884406516684, 1.0004264705882353
0.26671838634600487, 1.0004264705882353
0.27602792862684267, 1.0002941176470588
0.2871993793638482, 1.000470588235294
0.2983708301008535, 1.0006323529411765
0.30954228083785906, 1.000514705882353
0.37098525989138886, 1.0006323529411765
0.3821567106283942, 1.0006029411764705
0.3914662529092322, 1.0006470588235294
0.4026377036462375, 1.0007058823529411
0.4119472459270753, 1.00075
0.42311869666408086, 1.0006911764705881
0.43242823894491866, 1.0005588235294116
0.4454615981380917, 1.0007058823529411
0.45663304887509704, 1.0006029411764705
0.4696664080682701, 1.000514705882353
0.48083785880527563, 1.0005441176470589
0.49014740108611343, 0.9991470588235294
0.49945694336695123, 0.9990882352941176
0.5069045771916215, 0.9988676470588236
0.5199379363847948, 1.0002352941176471
0.5311093871218001, 1.0004117647058823
0.5422808378588054, 1.0002794117647058
0.5515903801396432, 1.0004264705882353
0.5608999224204813, 1.0003970588235294
0.5702094647013191, 1.0001911764705882
0.5795190069821569, 1.0001323529411765
0.5906904577191624, 1.0002058823529412
0.6018619084561677, 1.0001323529411765
0.6111714507370055, 1.0002205882352941
0.6223429014740111, 1.0001323529411765
0.6316524437548489, 1.000014705882353
